Player,team,team_abbr
Abbedagge,100 Thieves,100T
Closer,100 Thieves,100T
FBI,100 Thieves,100T
FBI,100 Thieves,100T
Huhi,100 Thieves,100T
Huhi,100 Thieves,100T
ssumday,100 Thieves,100T
Berserker,Cloud9,C9
Blaber,Cloud9,C9
Fudge,Cloud9,C9
Jensen,Cloud9,C9
Zven,Cloud9,C9
Atlen,CTBC Flying Oyster,CTBC
Gemini,CTBC Flying Oyster,CTBC
Koala,CTBC Flying Oyster,CTBC
Mission,CTBC Flying Oyster,CTBC
Rest,CTBC Flying Oyster,CTBC
Shunn,CTBC Flying Oyster,CTBC
BeryL,DRX,DRX
Deft,DRX,DRX
Juhan,DRX,DRX
Pyosik,DRX,DRX
Zeka,DRX,DRX
deokdam,DRX,DRX
kingen,DRX,DRX
Canyon,DWG KIA,DWG
Kellin,DWG KIA,DWG
Nuguri,DWG KIA,DWG
ShowMaker,DWG KIA,DWG
Flandre,EDward Gaming,EDG
Jiejie,EDward Gaming,EDG
Scout,EDward Gaming,EDG
Viper,EDward Gaming,EDG
meiko,EDward Gaming,EDG
Impact,Evil Geniuses,EG
Inspired,Evil Geniuses,EG
Kaori,Evil Geniuses,EG
Vulcan,Evil Geniuses,EG
jojopyun,Evil Geniuses,EG
Humanoid,Fnatic,FNC
Hylissang,Fnatic,FNC
Razork,Fnatic,FNC
Upset,Fnatic,FNC
Wunder,Fnatic,FNC
Brokenblade,G2 Esports,G2
Caps,G2 Esports,G2
Flakked,G2 Esports,G2
Jankos,G2 Esports,G2
Targamas,G2 Esports,G2
Bie,GAM Esports,GAM
Kati,GAM Esports,GAM
Kiaya,GAM Esports,GAM
Levi,GAM Esports,GAM
Sty1e,GAM Esports,GAM
Chovy,Gen.G,Gen.G
Doran,Gen.G,Gen.G
Lehends,Gen.G,Gen.G
Lehends,Gen.G,Gen.G
Peanut,Gen.G,Gen.G
Ruler,Gen.G,Gen.G
Ruler,Gen.G,Gen.G
369,JD Gaming,JDG
Hope,JD Gaming,JDG
Kanavi,JD Gaming,JDG
Missing,JD Gaming,JDG
Yagao,JD Gaming,JDG
Comp,Rogue,Rogue
Larssen,Rogue,Rogue
Malrang,Rogue,Rogue
Odoamne,Rogue,Rogue
Trymbi,Rogue,Rogue
Breathe,Royal Never Give Up,RNG
GALA,Royal Never Give Up,RNG
Ming,Royal Never Give Up,RNG
Wei,Royal Never Give Up,RNG
xiaohu,Royal Never Give Up,RNG
Faker,T1,T1
Gumayusi,T1,T1
Keria,T1,T1
Oner,T1,T1
Zeus,T1,T1
JackeyLove,Top Esports,TOP
Knight,Top Esports,TOP
Mark,Top Esports,TOP
Tian,Top Esports,TOP
Wayward,Top Esports,TOP
