Champion,Picks,Bans,Total
Alistar,5,73,78
Zilean,13,62,75
Lee Sin,43,29,72
Maokai,27,45,72
Ryze,37,31,68
KhaZix,58,8,66
Thresh,44,19,63
Lucian,44,17,61
Janna,45,8,53
Rumble,25,15,40
Tristana,32,7,39
Zed,19,19,38
Twitch,24,11,35
Rengar,14,19,33
Orianna,27,5,32
Yasuo,15,15,30
Nami,26,3,29
Nidalee,8,17,25
Syndra,14,11,25
Fizz,13,11,24
Corki,22,0,22
Irelia,15,6,21
Jayce,12,8,20
Jarvan IV,17,1,18
KogMaw,16,1,17
Lulu,15,2,17
Elise,15,1,16
Kayle,13,2,15
Twisted Fate,8,6,14
Ahri,12,1,13
Morgana,12,0,12
Braum,12,0,12
Dr. Mundo,10,0,10
Jinx,7,3,10
Kassadin,8,2,10
Talon,7,0,7
Aatrox,0,6,6
Xerath,6,0,6
Vayne,4,0,4
Blitzcrank,3,0,3
Leona,3,0,3
Pantheon,3,0,3
Rammus,2,1,3
Sona,3,0,3
Caitlyn,2,0,2
Evelynn,2,0,2
Ezreal,2,0,2
Graves,2,0,2
Singed,2,0,2
Ziggs,2,0,2
Akali,1,0,1
Fiddlesticks,1,0,1
Galio,1,0,1
Gragas,0,1,1
Katarina,1,0,1
Lissandra,1,0,1
Nunu,1,0,1
Riven,1,0,1
Swain,1,0,1
Varus,1,0,1
Vi,1,0,1
Amumu,0,0,0
Anivia,0,0,0
Annie,0,0,0
Ashe,0,0,0
Brand,0,0,0
Cassiopeia,0,0,0
Chogath,0,0,0
Darius,0,0,0
Diana,0,0,0
Draven,0,0,0
Fiora,0,0,0
Gangplank,0,0,0
Garen,0,0,0
Hecarim,0,0,0
Heimerdinger,0,0,0
Jax,0,0,0
Karma,0,0,0
Karthus,0,0,0
Kennen,0,0,0
LeBlanc,0,0,0
Lux,0,0,0
Malphite,0,0,0
Malzahar,0,0,0
Master Yi,0,0,0
Miss Fortune,0,0,0
Mordekaiser,0,0,0
Nasus,0,0,0
Nautilus,0,0,0
Nocturne,0,0,0
Olaf,0,0,0
Poppy,0,0,0
Quinn,0,0,0
Renekton,0,0,0
Sejuani,0,0,0
Shaco,0,0,0
Shen,0,0,0
Shyvana,0,0,0
Sion,0,0,0
Sivir,0,0,0
Skarner,0,0,0
Soraka,0,0,0
Taric,0,0,0
Teemo,0,0,0
Trundle,0,0,0
Tryndamere,0,0,0
Udyr,0,0,0
Urgot,0,0,0
Veigar,0,0,0
Viktor,0,0,0
Vladimir,0,0,0
Volibear,0,0,0
Warwick,0,0,0
Wukong,0,0,0
Xin Zhao,0,0,0
Yorick,0,0,0
Zac,0,0,0
Zyra,0,0,0
Gnar,0,0,0
Azir,0,0,0
Kalista,0,0,0
RekSai,0,0,0
VelKoz,0,0,0
Bard,0,0,0
Ekko,0,0,0
Tahm Kench,0,0,0
Kindred,0,0,0
Illaoi,0,0,0
Jhin,0,0,0
Aurelion Sol,0,0,0
Taliyah,0,0,0
Kled,0,0,0
Ivern,0,0,0
Camille,0,0,0
Xayah,0,0,0
Rakan,0,0,0
Kayn,0,0,0
Ornn,0,0,0
Zoe,0,0,0
Kaisa,0,0,0
Pyke,0,0,0
Neeko,0,0,0
Sylas,0,0,0
Yuumi,0,0,0
Qiyana,0,0,0
Senna,0,0,0
Aphelios,0,0,0
Sett,0,0,0
Lillia,0,0,0
Yone,0,0,0
Samira,0,0,0
Seraphine,0,0,0
Rell,0,0,0
Viego,0,0,0
Gwen,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
