Champion,Picks,Bans,Total
Akali,13,29,42
Jayce,3,39,42
Sylas,23,19,42
Jarvan IV,21,20,41
Ryze,20,20,40
Galio,18,20,38
RekSai,16,22,38
Tahm Kench,14,18,32
Irelia,9,22,31
Kennen,18,12,30
Taric,3,25,28
LeBlanc,10,15,25
Kaisa,20,4,24
Varus,18,5,23
Neeko,10,12,22
Braum,15,6,21
Rakan,11,9,20
Lee Sin,11,8,19
Nautilus,10,7,17
Kalista,6,11,17
Gangplank,4,10,14
Lucian,8,5,13
Orianna,8,5,13
Ezreal,7,5,12
Xayah,11,1,12
Hecarim,7,4,11
Morgana,6,5,11
Olaf,3,7,10
Vladimir,6,4,10
Azir,5,5,10
Sejuani,6,3,9
Syndra,6,3,9
Lissandra,5,3,8
Zoe,4,4,8
Draven,3,4,7
Elise,4,2,6
Xin Zhao,5,1,6
Pyke,4,2,6
Alistar,3,2,5
Fiora,1,4,5
Skarner,3,2,5
Sona,3,1,4
Aatrox,2,1,3
Ashe,2,1,3
Karthus,1,2,3
Vayne,3,0,3
Viktor,3,0,3
Camille,2,1,3
Corki,2,0,2
Lux,2,0,2
Nocturne,1,1,2
Renekton,0,2,2
Sivir,1,1,2
Thresh,2,0,2
Trundle,1,1,2
Vi,2,0,2
Gnar,2,0,2
Kindred,0,2,2
Kayn,2,0,2
Caitlyn,0,1,1
Cassiopeia,1,0,1
Chogath,1,0,1
Evelynn,1,0,1
Gragas,0,1,1
Karma,1,0,1
Miss Fortune,1,0,1
Rumble,1,0,1
Shen,1,0,1
Swain,1,0,1
Talon,1,0,1
Yasuo,1,0,1
Yorick,0,1,1
Ivern,1,0,1
Ahri,0,0,0
Amumu,0,0,0
Anivia,0,0,0
Annie,0,0,0
Blitzcrank,0,0,0
Brand,0,0,0
Darius,0,0,0
Diana,0,0,0
Dr. Mundo,0,0,0
Fiddlesticks,0,0,0
Fizz,0,0,0
Garen,0,0,0
Graves,0,0,0
Heimerdinger,0,0,0
Janna,0,0,0
Jax,0,0,0
Jinx,0,0,0
Kassadin,0,0,0
Katarina,0,0,0
Kayle,0,0,0
KhaZix,0,0,0
KogMaw,0,0,0
Leona,0,0,0
Lulu,0,0,0
Malphite,0,0,0
Malzahar,0,0,0
Maokai,0,0,0
Master Yi,0,0,0
Mordekaiser,0,0,0
Nami,0,0,0
Nasus,0,0,0
Nidalee,0,0,0
Nunu,0,0,0
Pantheon,0,0,0
Poppy,0,0,0
Quinn,0,0,0
Rammus,0,0,0
Rengar,0,0,0
Riven,0,0,0
Shaco,0,0,0
Shyvana,0,0,0
Singed,0,0,0
Sion,0,0,0
Soraka,0,0,0
Teemo,0,0,0
Tristana,0,0,0
Tryndamere,0,0,0
Twisted Fate,0,0,0
Twitch,0,0,0
Udyr,0,0,0
Urgot,0,0,0
Veigar,0,0,0
Volibear,0,0,0
Warwick,0,0,0
Wukong,0,0,0
Xerath,0,0,0
Zac,0,0,0
Zed,0,0,0
Ziggs,0,0,0
Zilean,0,0,0
Zyra,0,0,0
VelKoz,0,0,0
Bard,0,0,0
Ekko,0,0,0
Illaoi,0,0,0
Jhin,0,0,0
Aurelion Sol,0,0,0
Taliyah,0,0,0
Kled,0,0,0
Ornn,0,0,0
Yuumi,0,0,0
Qiyana,0,0,0
Senna,0,0,0
Aphelios,0,0,0
Sett,0,0,0
Lillia,0,0,0
Yone,0,0,0
Samira,0,0,0
Seraphine,0,0,0
Rell,0,0,0
Viego,0,0,0
Gwen,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
